AFI are not at reading til sunday this sucks !!!!!!!!!	NNP VBP RB IN VBG IN NNP DT VBZ .	0.9950 0.9385 0.9975 0.9831 0.7476 0.9716 0.9046 0.9553 0.9231 0.9962	AFI are not at reading til sunday this sucks !!!!!!!!!
Body Of Missing Northern Calif . Girl Found : Police have found the remains of a missing Northern California girl .. http://tr.im/imji	NN IN VBG JJ NNP . NN VBD : NNP VBP VBN DT NNS IN DT VBG JJ NNP NN : URL	0.7517 0.7986 0.9262 0.6584 0.9265 0.9924 0.6210 0.5705 0.9736 0.7969 0.7319 0.7852 0.9498 0.5576 0.9936 0.9860 0.6883 0.6846 0.9766 0.9661 0.9650 0.9897	Body Of Missing Northern Calif. Girl Found: Police have found the remains of a missing Northern California girl .. http://tr.im/imji
have to work on homework tmrw ...	VBP TO VB IN NN NN :	0.5998 0.9966 0.6458 0.9847 0.9771 0.9401 0.9917	have to work on homework tmrw...
Heroes is losing it's momentum ): come on writers pick it up !!!	NNP VBZ VBG PRP NN : VB IN NNS VBP PRP RP .	0.8716 0.9950 0.9923 0.6730 0.8754 0.3560 0.9449 0.9792 0.9781 0.6287 0.9964 0.9557 0.9964	Heroes is losing it's momentum ): come on writers pick it up!!!
i close my eyes nd i see your face .. :/ whens it gonna stop ? :: sigh times 5 ::	PRP VBP PRP$ NNS CC PRP VBP PRP$ NN : UH WRB PRP VBG VB . UH UH NNS CD :	0.9760 0.7405 0.9981 0.9827 0.8592 0.9866 0.8823 0.9431 0.9906 0.9527 0.9501 0.3674 0.9980 0.9520 0.9841 0.9886 0.5554 0.5697 0.8164 0.9807 0.3653	i close my eyes nd i see your face..:/ whens it gonna stop? ::sigh times 5::
i hate work . havent done much today . im trying ! i have artists block . cant draw	PRP VBP NN . RB VBN RB NN . PRP VBG . PRP VBP NNS NN . MD VB	0.9938 0.9973 0.9457 0.9949 0.5391 0.8459 0.6498 0.9827 0.9960 0.9815 0.9917 0.9913 0.9891 0.9755 0.9853 0.4293 0.9916 0.8913 0.9714	i hate work. havent done much today. im trying! i have artists block. cant draw
i think @JonathanRKnight lost the net ? sure hope not	PRP VBP USR VBD DT NN . JJ VBP RB	0.9938 0.9868 0.9940 0.6885 0.9945 0.7969 0.9884 0.9557 0.8517 0.9925	i think @JonathanRKnight lost the net ? sure hope not
is cold	VBZ JJ	0.9757 0.7402	is cold
It still wont let me log in I know my user's thier cos anth sent me a friend request	PRP RB MD VB PRP VBP IN PRP VBP PRP$ NNS PRP$ IN NNP VBD PRP DT NN NN	0.9963 0.9853 0.4725 0.9977 0.9964 0.4246 0.9916 0.9926 0.9708 0.9935 0.6666 0.4698 0.4765 0.5340 0.8501 0.9970 0.9848 0.9908 0.9004	It still wont let me log in I know my user's thier cos anth sent me a friend request
just	RB	0.9953	just
my housemaid ......... oh I hate her :s I guess she has alzheimers she didn't even know MY NAME	PRP$ NN : UH PRP VBP PRP UH PRP VBP PRP VBZ NNS PRP VBD RB VB PRP$ NN	0.9698 0.9855 0.9942 0.9701 0.9967 0.9963 0.8822 0.7438 0.9962 0.9906 0.9978 0.9577 0.5903 0.9899 0.6362 0.9893 0.6167 0.9767 0.9539	my housemaid.........oh I hate her :s I guess she has alzheimers she didn't even know MY NAME
poor mel . Feeling your pain .	NN NN . VBG PRP$ NN .	0.3624 0.3859 0.9950 0.7439 0.9809 0.9920 0.9973	poor mel. Feeling your pain.
srsly I understood you first time . I was just think of the answer for 1.5 seconds . Repeating in < English just pissed me off .	RB PRP VBP PRP JJ NN . PRP VBD RB VBP IN DT NN IN CD NNS . VBG IN NNP NNP RB VBD PRP RP .	0.6093 0.9975 0.7042 0.9910 0.9553 0.9919 0.9778 0.9955 0.9915 0.9991 0.6089 0.9928 0.9955 0.9660 0.9937 0.9883 0.9770 0.9967 0.9914 0.9624 0.2175 0.9991 0.9990 0.8569 0.9894 0.9087 0.9971	srsly I understood you first time. I was just think of the answer for 1.5 seconds. Repeating in &lt;English just pissed me off.
there is no way i can go to school today im way to sick	EX VBZ DT NN PRP MD VB TO NN NN PRP NN TO JJ	0.6161 0.9955 0.9747 0.9840 0.9717 0.9930 0.9917 0.9921 0.7738 0.9943 0.6614 0.5007 0.9884 0.7027	there is no way i can go to school today im way to sick
Why do other pet care people try to run others out of business ? Or send suspicious e-mails fishing for info ?	WRB VBP JJ NN NN NNS VBP TO VB NNS IN IN NN . CC VB JJ NNS NN IN NN .	0.9488 0.7758 0.8548 0.9708 0.4241 0.9728 0.8501 0.9973 0.9880 0.9749 0.8880 0.9581 0.8818 0.9934 0.9461 0.6664 0.9534 0.8709 0.8273 0.9956 0.9242 0.9917	Why do other pet care people try to run others out of business? Or send suspicious e-mails fishing for info?
wonder if Jon lost the net	VBP IN NNP VBD DT NN	0.3942 0.9969 0.9987 0.7319 0.9945 0.8311	wonder if Jon lost the net
; i miss family guyyy .	: PRP VBP NN NN .	0.7804 0.9888 0.9810 0.9339 0.9674 0.9970	; i miss family guyyy.
: @nikicheong just reminded me that #KrispyKreme http://www.krispykreme.com.my/ has landed in Msia and has an ugly website	: USR RB VBD PRP IN HT URL VBZ VBN IN NNP CC VBZ DT JJ NN	0.9365 0.9929 0.9979 0.9380 0.9962 0.4704 0.9312 0.8771 0.9640 0.8417 0.9825 0.9920 0.9958 0.9222 0.9716 0.5802 0.9049	: @nikicheong just reminded me that #KrispyKreme http://www.krispykreme.com.my/ has landed in Msia and has an ugly website
:S geen How I Met Your Mother vandaag	UH UH WRB PRP VBD PRP$ NN NN	0.9679 0.7233 0.9597 0.9809 0.9458 0.8776 0.9377 0.6379	:S geen How I Met Your Mother vandaag
?????? ? ?? ???? ???????? ???? ???? ??????????? ?????? ??? ????? - There was a problem with your picture	. . . . . . . . . . . : EX VBD DT NN IN PRP$ NN	0.8895 0.9809 0.9422 0.9419 0.9426 0.9425 0.9425 0.9426 0.9427 0.9440 0.9319 0.9459 0.6935 0.9793 0.9969 0.9955 0.9989 0.9677 0.9907	?????? ? ?? ???? ???????? ???? ???? ??????????? ?????? ??? ????? - There was a problem with your picture
.. sad to hear about the discovery of the little girl from Tracy . Her poor family	: JJ TO VB IN DT NN IN DT JJ NN IN NNP . PRP NN NN	0.9402 0.9730 0.9948 0.9882 0.9778 0.9970 0.9760 0.9969 0.9947 0.9416 0.9862 0.9990 0.9987 0.9958 0.6323 0.5105 0.9954	.. sad to hear about the discovery of the little girl from Tracy. Her poor family
... missed the gig	: VBD DT NN	0.9938 0.9658 0.9970 0.9736	... missed the gig
... im not worthless	: PRP RB JJ	0.9939 0.9803 0.9992 0.9796	... im not worthless
... OMY ! Jus woke up !! But was wishing I woke up sumwer in NY !! Lol	: UH . RB VB RP . CC VBD VBG PRP VBD RP NN IN NNP . UH	0.9946 0.9768 0.9787 0.9070 0.5579 0.9639 0.9877 0.9587 0.9675 0.9284 0.9950 0.6759 0.8972 0.4447 0.9915 0.9729 0.9817 0.9867	... OMY! Jus woke up!! But was wishing I woke up sumwer in NY!! Lol
... or so I thought ....	: CC RB PRP VBD :	0.9916 0.9837 0.5910 0.9983 0.8582 0.9757	... or so I thought....
..... Oh and my agents had me booked out the wrong days . X1000000	: UH CC PRP$ NNS VBD PRP VBD RP DT JJ NNS . UH	0.9841 0.9489 0.9947 0.9924 0.9248 0.9802 0.9972 0.8707 0.6881 0.9822 0.9169 0.9844 0.9969 0.8571	..... Oh and my agents had me booked out the wrong days. X1000000
.... I am being followed by ' trekkie shop ' , bitch I don't even like those kind of shows .	: PRP VBP VBG VBN IN '' NN NN '' , NN PRP VBP RB IN DT NN IN NNS .	0.9851 0.9952 0.9701 0.9848 0.7791 0.9546 0.9255 0.6494 0.9917 0.9335 0.9885 0.6674 0.9939 0.9313 0.9948 0.8698 0.9961 0.8222 0.9792 0.7268 0.9973	....I am being followed by 'trekkie shop', bitch I don't even like those kind of shows.
.... it's just fever ...	: PRP RB NN :	0.9837 0.8577 0.9957 0.8390 0.9943	....it's just fever...
... but first the other workathlon : 3 sets of management accounts one after the other .	: CC JJ DT JJ NN : CD NNS IN NN NNS CD IN DT JJ .	0.9908 0.9706 0.6643 0.9894 0.6500 0.5862 0.5616 0.9491 0.8160 0.9920 0.9864 0.9092 0.8358 0.9944 0.9960 0.5892 0.9948	...but first the other workathlon: 3 sets of management accounts one after the other.
... hurts but u just gotta keep on goin or crawl under the duvet and hide	: VBZ CC PRP RB VBN VB IN VBG CC VBP IN DT NN CC VB	0.9940 0.3695 0.9741 0.9904 0.9986 0.5254 0.9954 0.9648 0.9096 0.9746 0.3738 0.9979 0.9951 0.9359 0.9938 0.7922	...hurts but u just gotta keep on goin or crawl under the duvet and hide
... if only I didn't feel crippled today . I can barely move my shoulder and neck	: IN RB PRP VBD VB VBN NN . PRP MD RB VB PRP$ NN CC NN	0.9949 0.9594 0.8673 0.9959 0.5216 0.7716 0.5255 0.9918 0.9951 0.9962 0.9861 0.9573 0.8691 0.9978 0.9774 0.9879 0.8199	...if only I didn't feel crippled today. I can barely move my shoulder and neck
... with nothing but your t-shirt on	: IN NN CC PRP$ NN IN	0.9944 0.9949 0.9615 0.9753 0.9712 0.9925 0.9862	...with nothing but your t-shirt on
.. and of course ... I have access to my Halo 3 Mythic Map Pack re-download .. but bad news .. not the Legendary Map Pack ... ugh .. 600MS ...	: CC IN NN : PRP VBP NN TO PRP$ NN CD JJ NN NN NN : CC JJ NN : RB DT NNP NNP NN : UH : NNS :	0.9073 0.9907 0.9320 0.9748 0.9970 0.9972 0.9814 0.4857 0.9899 0.9861 0.7001 0.9248 0.6852 0.7366 0.9385 0.8756 0.9288 0.9498 0.9909 0.9185 0.9560 0.9897 0.9835 0.7233 0.9509 0.6481 0.9967 0.9410 0.9500 0.3580 0.9926	..and of course... I have access to my Halo 3 Mythic Map Pack re-download.. but bad news.. not the Legendary Map Pack... ugh.. 600MS...
s nanna just passed away	NNP NNP RB VBD RB	0.5651 0.8667 0.9979 0.8431 0.8528	s nanna just passed away
study group extraordinare ' about to leave campus ... some of torts outline finished-good thing-but sleepy as h*#@ ... will be back@ 7am	NN NN NN '' IN TO VB NNS : DT IN NNP NN VBD NN JJ IN NN : MD VB RB CD	0.8923 0.9820 0.1692 0.9486 0.9415 0.9954 0.9889 0.5187 0.9954 0.9216 0.9624 0.4933 0.9607 0.4816 0.8202 0.8857 0.9793 0.2479 0.9971 0.9941 0.9993 0.8731 0.8550	study group extraordinare' about to leave campus...some of torts outline finished-good thing-but sleepy as h*#@...will be back@ 7am
I dislike this immensely , i lol at the fact I can spell immensely ... thank you Lauren haha	PRP VBP DT RB , PRP UH IN DT NN PRP MD VB RB : VB PRP NNP UH	0.9961 0.9849 0.9872 0.9891 0.9899 0.9396 0.6768 0.9965 0.9976 0.9768 0.9935 0.9886 0.8575 0.9891 0.9956 0.9432 0.9960 0.9963 0.8652	I dislike this immensely, i lol at the fact I can spell immensely... thank you Lauren haha
I Still Cant Find My Phone , And I Cant Call It , Cause Its Dead	PRP RB MD VB PRP$ NN , CC PRP MD VB PRP , IN PRP NNP	0.9960 0.9328 0.8435 0.9935 0.9669 0.8545 0.9923 0.9976 0.9870 0.8770 0.9809 0.9915 0.9702 0.6005 0.9660 0.5762	I Still Cant Find My Phone , And I Cant Call It , Cause Its Dead
_secretgarden_ I haven't gotten any porn spammers I don't check my followers , but haven't had any tweets like that .	UH PRP VBP VBN DT NN NNS PRP VBP VB PRP$ NNS , CC RB VBD DT NNS IN DT .	0.3455 0.9840 0.7342 0.6282 0.9605 0.7920 0.8497 0.9973 0.9034 0.9959 0.9972 0.8662 0.9883 0.9958 0.3841 0.9582 0.9832 0.9667 0.9565 0.8420 0.9959	_secretgarden_ I haven't gotten any porn spammers I don't check my followers, but haven't had any tweets like that.
: so like , now that everyone knows what I'm doing with my life here in twitter what am I supposed to talk about in normal conversation ?!?	: RB IN , RB DT NN VBZ WP PRP VBG IN PRP$ NN RB IN NNP WP VBP PRP VBD TO VB IN IN JJ NN .	0.8603 0.9324 0.4290 0.9898 0.9782 0.5489 0.9959 0.9666 0.9763 0.7975 0.9971 0.9974 0.9967 0.9953 0.9799 0.9882 0.4837 0.9798 0.8384 0.9985 0.7374 0.9975 0.9983 0.8460 0.8490 0.9491 0.9942 0.9824	: so like, now that everyone knows what I'm doing with my life here in twitter what am I supposed to talk about in normal conversation?!?
.. This response from Support is blatantly untrue , fake accounts are shut down all the time ! And it contradicts their own Terms too .	: DT NN IN NNP VBZ RB JJ , JJ NNS VBP VB RP DT DT NN . CC PRP VBZ PRP$ JJ NNS RB .	0.9511 0.9871 0.9897 0.9980 0.8596 0.9869 0.9955 0.9787 0.9910 0.9462 0.9915 0.9805 0.8401 0.9025 0.9433 0.9966 0.9949 0.9686 0.9945 0.9987 0.9719 0.9528 0.9490 0.9254 0.9259 0.9956	.. This response from Support is blatantly untrue, fake accounts are shut down all the time! And it contradicts their own Terms too.
... and , India missed out its 100th Test victory n 10th consecutive win without a loss .	: CC , NNP VBD RP PRP$ JJ NN NN CC CD JJ NN IN DT NN .	0.9906 0.9916 0.9877 0.9959 0.9363 0.8639 0.5368 0.8151 0.9024 0.9914 0.7714 0.6175 0.5601 0.4910 0.9936 0.9970 0.9798 0.9967	...and, India missed out its 100th Test victory n 10th consecutive win without a loss.
... another long day ahead . I think my voice may be returning , but my head is still pounding . Is it Friday yet ?	: DT JJ NN RB . PRP VBP PRP$ NN MD VB VBG , CC PRP$ NN VBZ RB VBG . VBZ PRP NNP RB .	0.9955 0.9787 0.9673 0.9971 0.7823 0.9927 0.9976 0.9873 0.9888 0.9906 0.9823 0.9967 0.8907 0.9878 0.9967 0.9974 0.9936 0.9950 0.9952 0.9324 0.9949 0.9730 0.9822 0.9945 0.7146 0.9960	...another long day ahead. I think my voice may be returning, but my head is still pounding. Is it Friday yet?
... people who have had this , and she says they have all been the same . It's vicious .	: NNS WP VBP VBD DT , CC PRP VBZ PRP VBP DT VBN DT JJ . PRP JJ .	0.9935 0.9802 0.9472 0.9052 0.5702 0.9874 0.9921 0.9987 0.9954 0.8145 0.9888 0.9768 0.9715 0.8490 0.9914 0.9126 0.9926 0.6624 0.6950 0.9933	...people who have had this, and she says they have all been the same. It's vicious.
... well I was going to RPM . Vespa needs oil , I ain't going anywhere	: UH PRP VBD VBG TO NNP . NNP VBZ NN , PRP VBP VBG RB	0.9942 0.6453 0.9940 0.9910 0.9904 0.9923 0.8627 0.9842 0.5525 0.9588 0.9887 0.9889 0.9714 0.9310 0.9902 0.9466	...well I was going to RPM. Vespa needs oil, I ain't going anywhere
s Kinda Bummed . An Agency Just Told Me That I Didn't Have The ' LOOK ' That They Were Going For . Ladies , Please Help Me Create The ' LOOK '	NNP NNP NNP . DT NNP RB VBD PRP IN PRP VBP VB DT '' VB '' IN PRP VBD VBG IN . NNS , UH VB PRP VBP DT '' VB ''	0.4121 0.6319 0.8206 0.9947 0.9053 0.5358 0.9824 0.9717 0.9940 0.4332 0.9916 0.4763 0.9736 0.8422 0.9218 0.2809 0.9431 0.4248 0.9720 0.9189 0.9886 0.8134 0.9936 0.9802 0.9869 0.9258 0.9761 0.9961 0.8725 0.7711 0.9220 0.2991 0.9584	s Kinda Bummed. An Agency Just Told Me That I Didn't Have The 'LOOK' That They Were Going For. Ladies, Please Help Me Create The 'LOOK'
( @humanPincushion ) Oh snap , bars and #liquor stores aren't open on the statutory holidays during #Easter . Stupid retarded laws	-LRB- USR -RRB- UH VB , NNS CC NN NNS VBP JJ IN DT JJ NNS IN NNP . JJ JJ NNS	0.8979 0.9929 0.8289 0.8957 0.3677 0.9844 0.9799 0.9904 0.5778 0.6459 0.3481 0.3992 0.9972 0.9923 0.8651 0.5210 0.9961 0.4926 0.9954 0.9341 0.9783 0.9778	(@humanPincushion) Oh snap, bars and #liquor stores aren't open on the statutory holidays during #Easter. Stupid retarded laws
@__dev_dsp Hrm , your last two posts make it sound like I'm holding you back .	USR UH , PRP$ JJ CD NNS VBP PRP RB IN PRP VBG PRP RB .	0.9972 0.9906 0.9887 0.9013 0.9386 0.9280 0.9907 0.6805 0.9955 0.3137 0.6978 0.7671 0.9922 0.9965 0.9246 0.9957	@__dev_dsp Hrm, your last two posts make it sound like I'm holding you back.
@_adriii OMGOSH , they're like biscuits , so so so yum . xD you haven't lived until you've eaten them missy :p & i miss you too x	USR UH , PRP IN NNS , RB RB RB UH . UH PRP VBP VBN IN PRP VBD PRP NN UH CC PRP VBP PRP RB UH	0.9940 0.9939 0.9868 0.5590 0.7737 0.8542 0.9879 0.6801 0.9504 0.8832 0.6542 0.9576 0.9348 0.9897 0.4948 0.7521 0.9987 0.9903 0.3911 0.8654 0.9294 0.9357 0.9450 0.9911 0.9914 0.9985 0.9401 0.6618	@_adriii OMGOSH, they're like biscuits, so so so yum. xD you haven't lived until you've eaten them missy :p &amp; i miss you too x
